userId,customerName,email,userAddress,creditCardNo,discount,orderId,orderTime,shippingDate,orderName,category,orderPrice,storeId,storeAddress,zipcode,deliveredOnTime,transactionStatus,review,username
839,"Sainath Macharla",asdfgh@qwerty.com,"2951 S King Drive, Chicago, IL, 60616",1234567890,8,33,2020-12-03,2020-12-17,"Bar Special K",food,104.8,homedelivery,homedelivery,60616,Yes,Disputed,1,ab
77,"Sainath Macharla",ms811@live.com,"2951 S King Drive, Chicago, IL, 60616",1234567890,2,24,2020-12-03,2020-12-17,"Petite Baguette",food,122.17,homedelivery,homedelivery,60616,No,Disputed,3,ab
305,"Usain Bolt",wsdth@fewaq.com,"9867 Dartmouth, Austin, Texas, 78702",1234567891,2,25,2020-12-03,2020-12-17,Gatorade,beverages,20.69,homedelivery,homedelivery,78702,No,Approved,2,cf
305,"Usain Bolt",wsdth@fewaq.com,"9867 Dartmouth, Austin, Texas, 78702",1234567891,0,25,2020-12-03,2020-12-17,Runa,beverages,73.35,homedelivery,homedelivery,78702,No,Approved,2,cf
305,"Usain Bolt",wsdth@fewaq.com,"9867 Dartmouth, Austin, Texas, 78702",1234567891,9,25,2020-12-03,2020-12-17,Gherkin,food,32.76,homedelivery,homedelivery,78702,No,Approved,2,cf
351,"Colby White",xsert@mkiut.com,"899 Wilmingshire, Boston, Massachussets, 02115",123,7,3,2020-12-03,2020-12-17,Orgain,pchb,131.24,homedelivery,homedelivery,02115,Yes,Approved,2,dc
351,"Colby White",xsert@mkiut.com,"899 Wilmingshire, Boston, Massachussets, 02115",123,1,3,2020-12-03,2020-12-17,Perrier,beverages,91.55,homedelivery,homedelivery,02115,Yes,Approved,2,dc
592,"Sharon Pinty",mkiue@freyt.com,"914 Newell Drive, San Jose, California, 95101",1237894568,2,27,2020-12-03,2020-12-17,Pacifica,bcb,11.69,homedelivery,homedelivery,95101,Yes,Approved,2,sx
410,"Olivia Virginia",asloe@grewq.com,"678 Freng St, Richmond, Virginia, 23231",5326485321,5,3,2020-12-03,2020-12-17,Hefty,household,14.99,homedelivery,homedelivery,23231,No,Approved,3,bc
242,"Patrick Llyod",mherl@frmlp.com,"456 Cermak, Philadelphia, Pennsylvania, 19105",5236874612,1,34,2020-12-03,2020-12-17,"Squid U5 - Thailand",food,181.6,homedelivery,homedelivery,19105,Yes,Approved,4,cd
